id	lifestyle	species	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name
Aspergillus_aculeatinus	Saprotrophic	Aspergillus aculeatinus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_aculeatus	Plant pathogen	Aspergillus aculeatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_arachidicola	Saprotrophic	Aspergillus arachidicola	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_awamori	Saprotrophic	Aspergillus awamori	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_bombycis	Unknown	Aspergillus bombycis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_brasiliensis	Saprotrophic	Aspergillus brasiliensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_brunneoviolaceus	Saprotrophic	Aspergillus brunneoviolaceus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_calidoustus	Animal pathogen	Aspergillus calidoustus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_campestris	Saprotrophic	Aspergillus campestris	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_candidus	Animal pathogen	Aspergillus candidus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_carbonarius	Saprotrophic	Aspergillus carbonarius	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_chevalieri	Animal pathogen	Aspergillus chevalieri	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_clavatus	Animal pathogen	Aspergillus clavatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_costaricaensis	Saprotrophic	Aspergillus costaricaensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_cristatus	Saprotrophic	Aspergillus cristatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ellipticus	Saprotrophic	Aspergillus ellipticus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
